Date : 2024-09-21 17:39:07
Directory : e:\BaiduSyncdisk\OCI
Total : 238 files,  15932 codes, 6938 comments, 3110 blanks, all 25980 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| e:\BaiduSyncdisk\OCI\execute\define\build.cpp                | C++      |         47 |         19 |          3 |         69 |
| e:\BaiduSyncdisk\OCI\execute\define\namespace.cpp            | C++      |          6 |          9 |          0 |         15 |
| e:\BaiduSyncdisk\OCI\execute\define\pull.cpp                 | C++      |         22 |          7 |          3 |         32 |
| e:\BaiduSyncdisk\OCI\execute\define\types.cpp                | C++      |         20 |         21 |          2 |         43 |
| e:\BaiduSyncdisk\OCI\execute\digest\algorithm.cpp            | C++      |         42 |         19 |         10 |         71 |
| e:\BaiduSyncdisk\OCI\execute\digest\digest.cpp               | C++      |         57 |          8 |          2 |         67 |
| e:\BaiduSyncdisk\OCI\execute\digest\digester.cpp             | C++      |          4 |          0 |          2 |          6 |
| e:\BaiduSyncdisk\OCI\execute\digest\verifier.cpp             | C++      |          7 |          2 |          0 |          9 |
| e:\BaiduSyncdisk\OCI\execute\fmt\print.cpp                   | C++      |          1 |         23 |          6 |         30 |
| e:\BaiduSyncdisk\OCI\execute\go\file.cpp                     | C++      |         51 |         51 |          6 |        108 |
| e:\BaiduSyncdisk\OCI\execute\go\sha256.cpp                   | C++      |        120 |         21 |         18 |        159 |
| e:\BaiduSyncdisk\OCI\execute\go\sha256_test.cpp              | C++      |         36 |         10 |          7 |         53 |
| e:\BaiduSyncdisk\OCI\execute\go\string.cpp                   | C++      |         88 |         18 |          7 |        113 |
| e:\BaiduSyncdisk\OCI\execute\go\time.cpp                     | C++      |         13 |          1 |          4 |         18 |
| e:\BaiduSyncdisk\OCI\execute\graphdriver\driver.cpp          | C++      |         45 |         13 |          8 |         66 |
| e:\BaiduSyncdisk\OCI\execute\idtools\idtools.cpp             | C++      |          7 |          8 |          3 |         18 |
| e:\BaiduSyncdisk\OCI\execute\imagebuildah\build.cpp          | C++      |        200 |         17 |         21 |        238 |
| e:\BaiduSyncdisk\OCI\execute\imagebuildah\executor.cpp       | C++      |        622 |        137 |         55 |        814 |
| e:\BaiduSyncdisk\OCI\execute\imagebuildah\stage_executor.cpp | C++      |        328 |          7 |         49 |        384 |
| e:\BaiduSyncdisk\OCI\execute\imagebuildah\util.cpp           | C++      |          9 |          0 |          0 |          9 |
| e:\BaiduSyncdisk\OCI\execute\imagebuilder\builder.cpp        | C++      |        341 |         20 |         46 |        407 |
| e:\BaiduSyncdisk\OCI\execute\imagebuilder\dispatchers.cpp    | C++      |        281 |         66 |         34 |        381 |
| e:\BaiduSyncdisk\OCI\execute\imagebuilder\evaluator.cpp      | C++      |         95 |          6 |         13 |        114 |
| e:\BaiduSyncdisk\OCI\execute\imagebuilder\internals.cpp      | C++      |        119 |         22 |         23 |        164 |
| e:\BaiduSyncdisk\OCI\execute\imagebuilder\shell_parser.cpp   | C++      |        227 |         25 |         34 |        286 |
| e:\BaiduSyncdisk\OCI\execute\internal\types.cpp              | C++      |          1 |         21 |          4 |         26 |
| e:\BaiduSyncdisk\OCI\execute\lockfile\lockfile.cpp           | C++      |        215 |         83 |         52 |        350 |
| e:\BaiduSyncdisk\OCI\execute\logrus\alt_exit.cpp             | C++      |         14 |          4 |          4 |         22 |
| e:\BaiduSyncdisk\OCI\execute\logrus\bufferpool.cpp           | C++      |          2 |          1 |          0 |          3 |
| e:\BaiduSyncdisk\OCI\execute\logrus\entry.cpp                | C++      |        343 |         57 |         56 |        456 |
| e:\BaiduSyncdisk\OCI\execute\logrus\hooks.cpp                | C++      |         17 |         15 |          3 |         35 |
| e:\BaiduSyncdisk\OCI\execute\logrus\logger.cpp               | C++      |        297 |         42 |         64 |        403 |
| e:\BaiduSyncdisk\OCI\execute\logrus\logrus.cpp               | C++      |         73 |          0 |          4 |         77 |
| e:\BaiduSyncdisk\OCI\execute\main.cpp                        | C++      |         25 |         38 |          4 |         67 |
| e:\BaiduSyncdisk\OCI\execute\main\build.cpp                  | C++      |        238 |         97 |         19 |        354 |
| e:\BaiduSyncdisk\OCI\execute\main\config.cpp                 | C++      |         15 |         36 |          4 |         55 |
| e:\BaiduSyncdisk\OCI\execute\main\images.cpp                 | C++      |         15 |         21 |          4 |         40 |
| e:\BaiduSyncdisk\OCI\execute\main\info.cpp                   | C++      |         11 |         19 |          2 |         32 |
| e:\BaiduSyncdisk\OCI\execute\main\inspect.cpp                | C++      |         11 |         19 |          2 |         32 |
| e:\BaiduSyncdisk\OCI\execute\main\login.cpp                  | C++      |         13 |         21 |          3 |         37 |
| e:\BaiduSyncdisk\OCI\execute\main\logout.cpp                 | C++      |         13 |         21 |          3 |         37 |
| e:\BaiduSyncdisk\OCI\execute\main\pull.cpp                   | C++      |         17 |         21 |          4 |         42 |
| e:\BaiduSyncdisk\OCI\execute\main\push.cpp                   | C++      |         15 |         21 |          3 |         39 |
| e:\BaiduSyncdisk\OCI\execute\main\rmi.cpp                    | C++      |         11 |         19 |          2 |         32 |
| e:\BaiduSyncdisk\OCI\execute\main\root.cpp                   | C++      |         50 |         17 |         10 |         77 |
| e:\BaiduSyncdisk\OCI\execute\main\tag.cpp                    | C++      |         12 |         19 |          2 |         33 |
| e:\BaiduSyncdisk\OCI\execute\main\version.cpp                | C++      |         13 |         21 |          3 |         37 |
| e:\BaiduSyncdisk\OCI\execute\manifest\manifest.cpp           | C++      |          4 |          0 |          3 |          7 |
| e:\BaiduSyncdisk\OCI\execute\multierror\group.cpp            | C++      |         18 |         32 |          3 |         53 |
| e:\BaiduSyncdisk\OCI\execute\parse\buildkitparser.cpp        | C++      |         57 |          3 |         10 |         70 |
| e:\BaiduSyncdisk\OCI\execute\parse\dockerfileparse.cpp       | C++      |        333 |         45 |         49 |        427 |
| e:\BaiduSyncdisk\OCI\execute\parse\line_parsers.cpp          | C++      |        385 |         33 |         51 |        469 |
| e:\BaiduSyncdisk\OCI\execute\parse\parse.cpp                 | C++      |        376 |        130 |         67 |        573 |
| e:\BaiduSyncdisk\OCI\execute\parse\split_command.cpp         | C++      |        104 |          5 |         10 |        119 |
| e:\BaiduSyncdisk\OCI\execute\pflag\value.cpp                 | C++      |        165 |        202 |          4 |        371 |
| e:\BaiduSyncdisk\OCI\execute\reference\reference.cpp         | C++      |         35 |          0 |          3 |         38 |
| e:\BaiduSyncdisk\OCI\execute\regexp\regexp.cpp               | C++      |        243 |         26 |         52 |        321 |
| e:\BaiduSyncdisk\OCI\execute\selinux\selinux.cpp             | C++      |          8 |          0 |          0 |          8 |
| e:\BaiduSyncdisk\OCI\execute\selinux\selinux_linux.cpp       | C++      |         43 |         23 |         12 |         78 |
| e:\BaiduSyncdisk\OCI\execute\semaphore\semaphore.cpp         | C++      |         69 |         30 |         18 |        117 |
| e:\BaiduSyncdisk\OCI\execute\shell\lex.cpp                   | C++      |        312 |         14 |         32 |        358 |
| e:\BaiduSyncdisk\OCI\execute\signature\policy_config.cpp     | C++      |         29 |          1 |          7 |         37 |
| e:\BaiduSyncdisk\OCI\execute\signature\policy_eval.cpp       | C++      |          6 |          0 |          4 |         10 |
| e:\BaiduSyncdisk\OCI\execute\signature\policy_types.cpp      | C++      |          1 |          0 |          0 |          1 |
| e:\BaiduSyncdisk\OCI\execute\storage\images.cpp              | C++      |         42 |          9 |          4 |         55 |
| e:\BaiduSyncdisk\OCI\execute\storage\path.cpp                | C++      |         83 |         15 |         13 |        111 |
| e:\BaiduSyncdisk\OCI\execute\storage\storage.cpp             | C++      |        688 |        178 |        152 |      1,018 |
| e:\BaiduSyncdisk\OCI\execute\storage\storage_reference.cpp   | C++      |         23 |          0 |          2 |         25 |
| e:\BaiduSyncdisk\OCI\execute\storage\storage_transport.cpp   | C++      |         13 |          2 |          7 |         22 |
| e:\BaiduSyncdisk\OCI\execute\storage\store.cpp               | C++      |          0 |          0 |          3 |          3 |
| e:\BaiduSyncdisk\OCI\execute\transports\transports.cpp       | C++      |         33 |          0 |          1 |         34 |
| e:\BaiduSyncdisk\OCI\execute\types\options.cpp               | C++      |        374 |        144 |         60 |        578 |
| e:\BaiduSyncdisk\OCI\execute\unshare\unshare_linux.cpp       | C++      |          9 |          2 |          1 |         12 |
| e:\BaiduSyncdisk\OCI\execute\util\util.cpp                   | C++      |         83 |         22 |         11 |        116 |
| e:\BaiduSyncdisk\OCI\execute\v1\descriptor.cpp               | C++      |          7 |          0 |          1 |          8 |
| e:\BaiduSyncdisk\OCI\include\alltransports\alltransports.h   | C++      |         10 |          0 |          4 |         14 |
| e:\BaiduSyncdisk\OCI\include\attributedstring\slice.h        | C++      |         15 |          0 |          3 |         18 |
| e:\BaiduSyncdisk\OCI\include\auth\auth.h                     | C++      |          7 |          0 |          2 |          9 |
| e:\BaiduSyncdisk\OCI\include\buildah\buildah.h               | C++      |         87 |         38 |         42 |        167 |
| e:\BaiduSyncdisk\OCI\include\buildah\commit.h                | C++      |         41 |         25 |         26 |         92 |
| e:\BaiduSyncdisk\OCI\include\buildah\common.h                | C++      |         41 |          0 |          5 |         46 |
| e:\BaiduSyncdisk\OCI\include\buildah\digester.h              | C++      |         30 |         10 |          8 |         48 |
| e:\BaiduSyncdisk\OCI\include\buildah\image.h                 | C++      |         50 |          1 |          3 |         54 |
| e:\BaiduSyncdisk\OCI\include\buildah\util.h                  | C++      |         20 |          0 |          3 |         23 |
| e:\BaiduSyncdisk\OCI\include\bytes\buffer.h                  | C++      |         25 |          4 |          5 |         34 |
| e:\BaiduSyncdisk\OCI\include\capabilities\capabilities.h     | C++      |          3 |          0 |          4 |          7 |
| e:\BaiduSyncdisk\OCI\include\cgroupv2\cgroups_linux.h        | C++      |         40 |          3 |          5 |         48 |
| e:\BaiduSyncdisk\OCI\include\cli\build.h                     | C++      |        124 |        141 |          9 |        274 |
| e:\BaiduSyncdisk\OCI\include\cli\common.h                    | C++      |         26 |         13 |          0 |         39 |
| e:\BaiduSyncdisk\OCI\include\cobra\args.h                    | C++      |         13 |         11 |          2 |         26 |
| e:\BaiduSyncdisk\OCI\include\cobra\command.h                 | C++      |         92 |         50 |          8 |        150 |
| e:\BaiduSyncdisk\OCI\include\cobra\error.h                   | C++      |         24 |         19 |          5 |         48 |
| e:\BaiduSyncdisk\OCI\include\cobra\flag.h                    | C++      |         81 |         27 |          5 |        113 |
| e:\BaiduSyncdisk\OCI\include\config\config.h                 | C++      |        226 |        184 |        142 |        552 |
| e:\BaiduSyncdisk\OCI\include\config\config_local.h           | C++      |          4 |          0 |          4 |          8 |
| e:\BaiduSyncdisk\OCI\include\config\default_linux.h          | C++      |         18 |          0 |          3 |         21 |
| e:\BaiduSyncdisk\OCI\include\config\defaut.h                 | C++      |         25 |          1 |         10 |         36 |
| e:\BaiduSyncdisk\OCI\include\config\new.h                    | C++      |         31 |          7 |          6 |         44 |
| e:\BaiduSyncdisk\OCI\include\config\pod_exit_policy.h        | C++      |         11 |          0 |          5 |         16 |
| e:\BaiduSyncdisk\OCI\include\context\context.h               | C++      |         54 |         15 |         13 |         82 |
| e:\BaiduSyncdisk\OCI\include\copy\copy.h                     | C++      |         53 |          2 |         12 |         67 |
| e:\BaiduSyncdisk\OCI\include\define\build.h                  | C++      |        184 |        255 |         13 |        452 |
| e:\BaiduSyncdisk\OCI\include\define\namespace.h              | C++      |         18 |          0 |          2 |         20 |
| e:\BaiduSyncdisk\OCI\include\define\pull.h                   | C++      |         22 |          0 |          4 |         26 |
| e:\BaiduSyncdisk\OCI\include\define\types.h                  | C++      |        159 |         69 |         13 |        241 |
| e:\BaiduSyncdisk\OCI\include\define\types_unix.h             | C++      |         15 |          0 |          1 |         16 |
| e:\BaiduSyncdisk\OCI\include\devices\devices.h               | C++      |         30 |         11 |         10 |         51 |
| e:\BaiduSyncdisk\OCI\include\digest\algorithm.h              | C++      |         30 |          0 |          3 |         33 |
| e:\BaiduSyncdisk\OCI\include\digest\digest.h                 | C++      |         28 |          0 |          3 |         31 |
| e:\BaiduSyncdisk\OCI\include\digest\digester.h               | C++      |         13 |          2 |          4 |         19 |
| e:\BaiduSyncdisk\OCI\include\digest\verifier.h               | C++      |         20 |          0 |          2 |         22 |
| e:\BaiduSyncdisk\OCI\include\docker\container.h              | C++      |         10 |         75 |          6 |         91 |
| e:\BaiduSyncdisk\OCI\include\docker\types.h                  | C++      |         96 |         23 |         21 |        140 |
| e:\BaiduSyncdisk\OCI\include\fmt\print.h                     | C++      |          8 |         23 |          8 |         39 |
| e:\BaiduSyncdisk\OCI\include\go\context.h                    | C++      |         48 |          8 |         11 |         67 |
| e:\BaiduSyncdisk\OCI\include\go\file.h                       | C++      |         17 |          0 |          6 |         23 |
| e:\BaiduSyncdisk\OCI\include\go\hash.h                       | C++      |         12 |          4 |          6 |         22 |
| e:\BaiduSyncdisk\OCI\include\go\sha256.h                     | C++      |         16 |         11 |          8 |         35 |
| e:\BaiduSyncdisk\OCI\include\go\string.h                     | C++      |         20 |         10 |          1 |         31 |
| e:\BaiduSyncdisk\OCI\include\go\time.h                       | C++      |         11 |          0 |          2 |         13 |
| e:\BaiduSyncdisk\OCI\include\graphdriver\driver.h            | C++      |         90 |         21 |         11 |        122 |
| e:\BaiduSyncdisk\OCI\include\homedir\homedir_unix.h          | C++      |         20 |          0 |          6 |         26 |
| e:\BaiduSyncdisk\OCI\include\idtools\idtools.h               | C++      |         28 |          0 |          5 |         33 |
| e:\BaiduSyncdisk\OCI\include\imagebuildah\build.h            | C++      |         18 |          0 |          3 |         21 |
| e:\BaiduSyncdisk\OCI\include\imagebuildah\executor.h         | C++      |        182 |          3 |          8 |        193 |
| e:\BaiduSyncdisk\OCI\include\imagebuildah\stage_executor.h   | C++      |         58 |         14 |          4 |         76 |
| e:\BaiduSyncdisk\OCI\include\imagebuildah\util.h             | C++      |         16 |          2 |          3 |         21 |
| e:\BaiduSyncdisk\OCI\include\imagebuilder\builder.h          | C++      |        134 |          6 |         13 |        153 |
| e:\BaiduSyncdisk\OCI\include\imagebuilder\dispatchers.h      | C++      |         69 |          0 |         11 |         80 |
| e:\BaiduSyncdisk\OCI\include\imagebuilder\evaluator.h        | C++      |         29 |          1 |          6 |         36 |
| e:\BaiduSyncdisk\OCI\include\imagebuilder\internals.h        | C++      |         34 |          6 |          5 |         45 |
| e:\BaiduSyncdisk\OCI\include\imagebuilder\shell_parser.h     | C++      |         38 |          1 |          5 |         44 |
| e:\BaiduSyncdisk\OCI\include\internal\types.h                | C++      |         21 |          2 |          3 |         26 |
| e:\BaiduSyncdisk\OCI\include\libimage\normalize.h            | C++      |         10 |          0 |          4 |         14 |
| e:\BaiduSyncdisk\OCI\include\lockfile\lastwrite.h            | C++      |         12 |          1 |          3 |         16 |
| e:\BaiduSyncdisk\OCI\include\lockfile\lockfile.h             | C++      |         54 |          9 |          2 |         65 |
| e:\BaiduSyncdisk\OCI\include\logrus\alt_exit.h               | C++      |         10 |          0 |          0 |         10 |
| e:\BaiduSyncdisk\OCI\include\logrus\bufferpool.h             | C++      |         39 |          5 |          8 |         52 |
| e:\BaiduSyncdisk\OCI\include\logrus\entry.h                  | C++      |        104 |         11 |         13 |        128 |
| e:\BaiduSyncdisk\OCI\include\logrus\formatter.h              | C++      |         13 |          1 |          2 |         16 |
| e:\BaiduSyncdisk\OCI\include\logrus\hooks.h                  | C++      |         25 |          3 |          6 |         34 |
| e:\BaiduSyncdisk\OCI\include\logrus\json_formatter.h         | C++      |          7 |          0 |          4 |         11 |
| e:\BaiduSyncdisk\OCI\include\logrus\logger.h                 | C++      |        130 |         30 |         24 |        184 |
| e:\BaiduSyncdisk\OCI\include\logrus\logrus.h                 | C++      |         38 |         19 |          6 |         63 |
| e:\BaiduSyncdisk\OCI\include\logrus\text_formatter.h         | C++      |         34 |          2 |          2 |         38 |
| e:\BaiduSyncdisk\OCI\include\main\build.h                    | C++      |         27 |         15 |          2 |         44 |
| e:\BaiduSyncdisk\OCI\include\main\config.h                   | C++      |         23 |         15 |          1 |         39 |
| e:\BaiduSyncdisk\OCI\include\main\images.h                   | C++      |         15 |         16 |          1 |         32 |
| e:\BaiduSyncdisk\OCI\include\main\info.h                     | C++      |         11 |         10 |          1 |         22 |
| e:\BaiduSyncdisk\OCI\include\main\inspect.h                  | C++      |         11 |         10 |          1 |         22 |
| e:\BaiduSyncdisk\OCI\include\main\login.h                    | C++      |         17 |         15 |          1 |         33 |
| e:\BaiduSyncdisk\OCI\include\main\logout.h                   | C++      |         15 |         16 |          3 |         34 |
| e:\BaiduSyncdisk\OCI\include\main\pull.h                     | C++      |         15 |         15 |          1 |         31 |
| e:\BaiduSyncdisk\OCI\include\main\push.h                     | C++      |         15 |         15 |          1 |         31 |
| e:\BaiduSyncdisk\OCI\include\main\rmi.h                      | C++      |         11 |         10 |          1 |         22 |
| e:\BaiduSyncdisk\OCI\include\main\root.h                     | C++      |         23 |         22 |          4 |         49 |
| e:\BaiduSyncdisk\OCI\include\main\tag.h                      | C++      |         11 |         10 |          1 |         22 |
| e:\BaiduSyncdisk\OCI\include\main\version.h                  | C++      |         15 |         15 |          1 |         31 |
| e:\BaiduSyncdisk\OCI\include\manifest\docker_schema2.h       | C++      |         52 |         10 |          6 |         68 |
| e:\BaiduSyncdisk\OCI\include\manifest\manifest.h             | C++      |         15 |          0 |          4 |         19 |
| e:\BaiduSyncdisk\OCI\include\multierror\group.h              | C++      |         44 |          1 |          7 |         52 |
| e:\BaiduSyncdisk\OCI\include\parse\buildkitparser.h          | C++      |         16 |          0 |          1 |         17 |
| e:\BaiduSyncdisk\OCI\include\parse\dockerfileparse.h         | C++      |         86 |          1 |         13 |        100 |
