Date : 2024-08-27 21:03:15
Directory : d:\BaiduSyncdisk\OCI
Total : 142 files,  7417 codes, 5178 comments, 1568 blanks, all 14163 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        136 |      6,989 |      3,219 |        920 |     11,128 |
| Doxyfile |          1 |        358 |      1,929 |        616 |      2,903 |
| Makefile |          1 |         50 |         30 |         23 |        103 |
| Go       |          1 |         10 |          0 |          1 |         11 |
| Markdown |          1 |          5 |          0 |          4 |          9 |
| Docker   |          1 |          4 |          0 |          4 |          8 |
| JSON     |          1 |          1 |          0 |          0 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                            |        142 |      7,417 |      5,178 |      1,568 |     14,163 |
| . (Files)                                                    |          6 |        453 |      1,959 |        654 |      3,066 |
| busybox                                                      |          1 |          1 |          0 |          0 |          1 |
| execute                                                      |         57 |      4,499 |      2,033 |        533 |      7,065 |
| execute (Files)                                              |          1 |         25 |         38 |          4 |         67 |
| execute\alltransports                                        |          1 |         21 |          0 |          4 |         25 |
| execute\attributedstring                                     |          1 |          6 |          0 |          1 |          7 |
| execute\auth                                                 |          1 |         10 |          5 |          3 |         18 |
| execute\capabilities                                         |          1 |          1 |          0 |          1 |          2 |
| execute\cli                                                  |          2 |        323 |        176 |         49 |        548 |
| execute\cobra                                                |          4 |        887 |        648 |         39 |      1,574 |
| execute\config                                               |          1 |         15 |         18 |          3 |         36 |
| execute\define                                               |          4 |         95 |         56 |          8 |        159 |
| execute\go                                                   |          2 |         67 |         55 |          6 |        128 |
| execute\idtools                                              |          1 |          7 |          8 |          3 |         18 |
| execute\imagebuildah                                         |          3 |        212 |         19 |         25 |        256 |
| execute\imagebuilder                                         |          2 |         43 |          8 |          7 |         58 |
| execute\internal                                             |          1 |          1 |         21 |          4 |         26 |
| execute\logrus                                               |          2 |         78 |          0 |          6 |         84 |
| execute\main                                                 |         13 |        434 |        352 |         61 |        847 |
| execute\multierror                                           |          1 |         18 |         32 |          3 |         53 |
| execute\parse                                                |          5 |      1,250 |        214 |        186 |      1,650 |
| execute\pflag                                                |          1 |        165 |        202 |          4 |        371 |
| execute\reference                                            |          1 |         29 |          0 |          1 |         30 |
| execute\regexp                                               |          1 |        243 |         26 |         52 |        321 |
| execute\semaphore                                            |          1 |          4 |          0 |          1 |          5 |
| execute\shell                                                |          1 |        306 |         14 |         32 |        352 |
| execute\storage                                              |          2 |          5 |          0 |          4 |          9 |
| execute\transports                                           |          1 |         30 |          0 |          1 |         31 |
| execute\types                                                |          1 |        141 |        117 |         17 |        275 |
| execute\util                                                 |          1 |         76 |         24 |          7 |        107 |
| execute\v1                                                   |          1 |          7 |          0 |          1 |          8 |
| include                                                      |         78 |      2,464 |      1,186 |        381 |      4,031 |
| include\alltransports                                        |          1 |         10 |          0 |          4 |         14 |
| include\attributedstring                                     |          1 |         13 |          0 |          1 |         14 |
| include\auth                                                 |          1 |          7 |          0 |          2 |          9 |
| include\buildah                                              |          2 |         75 |         44 |         45 |        164 |
| include\bytes                                                |          1 |         20 |          3 |          4 |         27 |
| include\capabilities                                         |          1 |          3 |          0 |          4 |          7 |
| include\cli                                                  |          2 |        150 |        161 |         11 |        322 |
| include\cobra                                                |          4 |        210 |        107 |         20 |        337 |
| include\config                                               |          1 |         44 |         14 |         21 |         79 |
| include\define                                               |          5 |        371 |        324 |         33 |        728 |
| include\devices                                              |          1 |         30 |         11 |         10 |         51 |
| include\digest                                               |          1 |         13 |          0 |          3 |         16 |
| include\docker                                               |          1 |         58 |         11 |          6 |         75 |
| include\go                                                   |          2 |         27 |         10 |          7 |         44 |
| include\graphdriver                                          |          1 |         22 |          3 |          4 |         29 |
| include\idtools                                              |          1 |         28 |          0 |          5 |         33 |
| include\imagebuildah                                         |          3 |        189 |         13 |         12 |        214 |
| include\imagebuilder                                         |          2 |         89 |          3 |          8 |        100 |
| include\internal                                             |          1 |         21 |          2 |          3 |         26 |
| include\logrus                                               |          5 |        100 |         88 |         27 |        215 |
| include\main                                                 |         13 |        208 |        184 |         19 |        411 |
| include\multierror                                           |          1 |         21 |          0 |          3 |         24 |
| include\parse                                                |          5 |        135 |          2 |         14 |        151 |
| include\pflag                                                |          1 |         88 |         42 |          2 |        132 |
| include\reference                                            |          1 |         46 |          1 |          3 |         50 |
| include\regexp                                               |          1 |         45 |          0 |          1 |         46 |
| include\runtime_spec                                         |          1 |          7 |          0 |          4 |         11 |
| include\semaphore                                            |          1 |         17 |          0 |          3 |         20 |
| include\shell                                                |          1 |         56 |          2 |         10 |         68 |
| include\specs                                                |          1 |         34 |         25 |          4 |         63 |
| include\sshagent                                             |          1 |         14 |          1 |          3 |         18 |
| include\storage                                              |          2 |         45 |         17 |         11 |         73 |
| include\sync                                                 |          3 |         48 |         24 |         16 |         88 |
| include\system                                               |          1 |         16 |          4 |          1 |         21 |
| include\transports                                           |          1 |         19 |          0 |          4 |         23 |
| include\types                                                |          3 |         72 |         55 |         17 |        144 |
| include\util                                                 |          1 |         16 |          0 |          7 |         23 |
| include\v1                                                   |          3 |         97 |         35 |         29 |        161 |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                     | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\BaiduSyncdisk\OCI\Code.go                                 | Go       |         10 |          0 |          1 |         11 |
| d:\BaiduSyncdisk\OCI\Dockerfile                              | Docker   |          4 |          0 |          4 |          8 |
| d:\BaiduSyncdisk\OCI\Doxyfile                                | Doxyfile |        358 |      1,929 |        616 |      2,903 |
| d:\BaiduSyncdisk\OCI\Makefile                                | Makefile |         50 |         30 |         23 |        103 |
| d:\BaiduSyncdisk\OCI\README.md                               | Markdown |          5 |          0 |          4 |          9 |
| d:\BaiduSyncdisk\OCI\busybox\index.json                      | JSON     |          1 |          0 |          0 |          1 |
| d:\BaiduSyncdisk\OCI\execute\alltransports\alltransports.cpp | C++      |         21 |          0 |          4 |         25 |
| d:\BaiduSyncdisk\OCI\execute\attributedstring\slice.cpp      | C++      |          6 |          0 |          1 |          7 |
| d:\BaiduSyncdisk\OCI\execute\auth\auth.cpp                   | C++      |         10 |          5 |          3 |         18 |
| d:\BaiduSyncdisk\OCI\execute\capabilities\capabilities.cpp   | C++      |          1 |          0 |          1 |          2 |
| d:\BaiduSyncdisk\OCI\execute\cli\build.cpp                   | C++      |        217 |         29 |         18 |        264 |
| d:\BaiduSyncdisk\OCI\execute\cli\common.cpp                  | C++      |        106 |        147 |         31 |        284 |
| d:\BaiduSyncdisk\OCI\execute\cobra\args.cpp                  | C++      |         10 |          7 |          0 |         17 |
| d:\BaiduSyncdisk\OCI\execute\cobra\command.cpp               | C++      |        530 |        313 |         24 |        867 |
| d:\BaiduSyncdisk\OCI\execute\cobra\error.cpp                 | C++      |          1 |          0 |          2 |          3 |
| d:\BaiduSyncdisk\OCI\execute\cobra\flag.cpp                  | C++      |        346 |        328 |         13 |        687 |
| d:\BaiduSyncdisk\OCI\execute\config\config.cpp               | C++      |         15 |         18 |          3 |         36 |
| d:\BaiduSyncdisk\OCI\execute\define\build.cpp                | C++      |         47 |         19 |          3 |         69 |
| d:\BaiduSyncdisk\OCI\execute\define\namespace.cpp            | C++      |          6 |          9 |          0 |         15 |
